,cleanwords
2216,boy
2217,john
2218,miles
2219,stranger
2220,put
2221,steam
2222,milltown
2223,shouted
2224,crowd
2225,hurrah
2226,boston
2227,called
2228,personal
2229,friends
2230,john
2231,miles
2232,ben
2233,crossed
2234,line
2235,feet
2236,advance
2237,john
2238,amid
2239,shouts
2240,applause
2241,frank
2242,jones
2243,easy
2244,arthur
2245,clark
2246,ranked
2247,fourth
2248,congratulate
2249,frank
2250,ben
2251,stood
2252,flushed
2253,pleased
2254,goal
2255,ve
2256,won
2257,prize
2258,fairly
2259,john
2260,miles
2261,stood
2262,mortified
2263,sullen
2264,luck
2265,time
2266,frank
2267,jones
2268,see
2269,know
2270,running
2271,have
2272,won
2273,easily
2274,hadn
2275,had
2276,sudden
2277,attack
2278,cramp
2279,john
2280,grumbling
2281,didn
2282,run
2283,had
2284,cramp
2285,because
2286,don
2287,know
2288,fast
2289,run
2290,didn
2291,run
2292,morning
2293,unlucky
2294,wanted
2295,see
2296,real
2297,running
2298,run
2299,race
2300,john
2301,course
2302,prize
2303,has
2304,been
2305,won
2306,don
2307,care
2308,prize
2309,ve
2310,got
2311,money
2312,haven
2313,ben
2314,care
2315,money
2316,victory
2317,look
2318,john
2319,ll
2320,put
2321,dollars
2322,ll
2323,run
2324,exclaimed
2325,ben
2326,eyes
2327,sparkling
2328,won
2329,ask
2330,put
2331,ll
2332,run
2333,committee
2334,ready
2335,permission
2336,obtained
2337,committee
2338,stipulated
2339,younger
2340,boys
2341,have
2342,race
2343,contestants
2344,readily
2345,agreed
2346,give
2347,chance
2348,recover
2349,fatigue
2350,race
2351,had
2352,engaged
2353,chapter
2354,ben
2355,wins
2356,glad
2357,won
2358,frank
2359,jones
2360,low
2361,voice
2362,answered
2363,ben
2364,smiling
2365,course
2366,have
2367,preferred
2368,win
2369,continued
2370,frank
2371,candidly
2372,lay
2373,john
2374,miles
2375,sided
2376,know
2377,miles
2378,spoke
2379,race
2380,began
2381,felt
2382,winning
2383,boasted
2384,had
2385,practiced
2386,running
2387,gymnasium
2388,boston
2389,didn
2390,beat
2391,short
2392,race
2393,wind
2394,glad
2395,win
2396,sake
2397,money
2398,ben
2399,have
2400,lost
2401,place
2402,factory
2403,aunt
2404,depends
2405,earnings
2406,glad
2407,frank
2408,didn
2409,money
2410,had
2411,won
2412,have
2413,given
2414,knowing
2415,circumstances
2416,kind
2417,ben
2418,gratefully
2419,win
2420,dollars
2421,hope
2422,hard
2423,john
2424,miles
2425,lose
2426,races
2427,money
2428,needn
2429,judge
2430,rightly
2431,has
2432,conceit
2433,carry
2434,dozen
2435,defeats
2436,have
2437,excuse
2438,ready
2439,lost
2440,race
2441,sudden
2442,cramp
2443,has
2444,cramp
2445,boys
2446,line
2447,ben
2448,recognize
2449,frank
2450,charlie
2451,herman
2452,know
2453,know
2454,charlie
2455,herman
2456,aleck
2457,gale
2458,johnny
2459,clarke
2460,vanderhoef
2461,brooks
2462,gulager
2463,charlie
2464,boyd
2465,end
2466,boy
2467,charlie
2468,snedeker
2469,win
2470,hermans
2471,prediction
2472,proved
2473,correct
2474,charles
2475,herman
2476,leading
2477,brother
2478,feet
2479,divide
