,cleanwords
1572,followed
1573,usher
1574,small
1575,apartment
1576,turenne
1577,sitting
1578,table
1579,covered
1580,letters
1581,general
1582,looked
1583,critically
1584,make
1585,good
1586,figure
1587,age
1588,weakly
1589,grown
1590,strong
1591,exercises
1592,have
1593,neglected
1594,sword
1595,eyes
1596,fell
1597,general
1598,have
1599,practised
1600,hours
1601,day
1602,ten
1603,years
1604,soldier
1605,regiment
1606,has
1607,been
1608,instructor
1609,turn
1610,maitre
1611,armes
1612,regiment
1613,gave
1614,lessons
1615,week
1616,have
1617,managed
1618,business
1619,viscount
1620,cardinal
1621,yesterday
1622,asked
1623,commission
1624,simply
1625,asked
1626,regiment
1627,present
1628,intended
1629,keep
1630,person
1631,thought
1632,make
1633,good
1634,officer
1635,day
1636,credit
1637,busy
1638,time
1639,simply
1640,signed
1641,appointment
1642,lieutenant
1643,gave
1644,fill
1645,asked
1646,bring
1647,levee
1648,tomorrow
1649,occasion
1650,viscount
1651,have
1652,plenty
1653,hands
1654,waste
1655,time
1656,young
1657,lieutenants
1658,present
1659,return
1660,war
1661,know
1662,cardinal
1663,sight
1664,suppose
1665,general
1666,have
1667,seen
1668,times
1669,great
1670,man
1671,turenne
1672,thoughtfully
1673,speaking
1674,hector
1675,greatest
1676,france
1677,has
1678,known
1679,soul
1680,france
1681,have
1682,present
1683,king
1684,recognizes
1685,great
1686,man
1687,wise
1688,know
1689,overshadowed
1690,france
1691,made
1692,greater
1693,stronger
1694,reign
1695,glorious
1696,genius
1697,broke
1698,smile
1699,talking
1700,ride
1701,st
1702,denis
1703,clock
1704,today
1705,time
1706,order
1707,horse
1708,have
1709,purchased
1710,brought
1711,round
1712,nhector
1713,express
1714,gratitude
1715,general
1716,stopped
1717,perceived
1718,ardour
1719,have
1720,studied
1721,military
1722,matters
1723,make
1724,good
1725,officer
1726,remind
1727,boyhood
1728,forward
1729,officers
1730,see
1731,ready
1732,actual
1733,business
1734,go
1735,order
1736,acquire
1737,knowledge
1738,doubt
1739,find
1740,remember
1741,lad
1742,longer
1743,civilian
1744,soldier
1745,obedient
1746,respectful
1747,rank
1748,discretion
1749,courage
1750,success
1751,thoughtful
1752,comfort
1753,soldiers
1754,ready
1755,expose
1756,life
1757,battle
1758,encourage
1759,set
1760,endurance
1761,cheerfulness
1762,good
1763,spirits
1764,times
1765,hardship
1766,distress
1767,remember
1768,soldier
1769,thing
1770,party
1771,fights
1772,france
1773,france
1774,hold
1775,aloof
1776,smallest
1777,expression
1778,opinion
1779,political
1780,matters
1781,clock
1782,nhector
1783,bowed
1784,deeply
1785,left
1786,room
1787,returned
1788,hotel
1789,clock
1790,grooms
1791,standing
1792,horses
1793,entrance
1794,waited
1795,viscount
1796,followed
1797,officers
1798,lieutenant
1799,eye
1800,fell
1801,hector
1802,afraid
1803,punctuality
1804,virtues
1805,gentlemen
